subset,repo,group,release,total_blocks,annotation_blocks,todo_blocks,fixme_blocks,xxx_blocks,hack_blocks,bug_blocks,note_blocks,annotation_block_ratio,todo_block_ratio,fixme_block_ratio,xxx_block_ratio,hack_block_ratio,bug_block_ratio,note_block_ratio
core,build,new_2020s,1.4.0,54,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core,coverage,old_2000s,3.0,116,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core,ipython,old_2000s,0.10.1,3656,123,10,37,44,20,16,9,0.03364332603938731,0.002735229759299781,0.01012035010940919,0.012035010940919038,0.005470459518599562,0.00437636761487965,0.002461706783369803
core,nose,old_2000s,0.11.1,484,34,8,19,0,0,3,4,0.07024793388429752,0.01652892561983471,0.03925619834710744,0.0,0.0,0.006198347107438017,0.008264462809917356
core,pdm,new_2020s,2.26.0,499,10,3,0,3,0,2,2,0.02004008016032064,0.006012024048096192,0.0,0.006012024048096192,0.0,0.004008016032064128,0.004008016032064128
core,pip,old_2000s,1.0.1,245,59,0,50,2,1,2,5,0.24081632653061225,0.0,0.20408163265306123,0.00816326530612245,0.004081632653061225,0.00816326530612245,0.02040816326530612
core,pip-audit,new_2020s,2.9.0,152,16,6,0,0,1,0,9,0.10526315789473684,0.039473684210526314,0.0,0.0,0.006578947368421052,0.0,0.05921052631578947
core,poetry-plugin-export,new_2020s,1.10.0,28,1,0,0,0,0,0,1,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.03571428571428571
core,pygments,old_2000s,1.0,963,25,12,1,7,4,0,1,0.02596053997923157,0.012461059190031152,0.0010384215991692627,0.007268951194184839,0.004153686396677051,0.0,0.0010384215991692627
core,pytask,new_2020s,0.5.8,383,2,0,0,0,0,1,1,0.005221932114882507,0.0,0.0,0.0,0.0,0.0026109660574412533,0.0026109660574412533
core,rich,new_2020s,14.0.0,367,2,1,0,0,0,1,0,0.005449591280653951,0.0027247956403269754,0.0,0.0,0.0,0.0027247956403269754,0.0
core,scons,old_2000s,1.0.0,2610,102,19,6,41,9,19,9,0.03908045977011494,0.0072796934865900385,0.0022988505747126436,0.015708812260536397,0.0034482758620689655,0.0072796934865900385,0.0034482758620689655
core,setuptools,old_2000s,0.6c11,447,30,1,0,22,3,3,1,0.06711409395973154,0.0022371364653243847,0.0,0.049217002237136466,0.006711409395973154,0.006711409395973154,0.0022371364653243847
core,textualize,new_2020s,1.0.0,1440,31,26,0,0,0,0,5,0.021527777777777778,0.018055555555555554,0.0,0.0,0.0,0.0,0.003472222222222222
core,typer,new_2020s,0.19.0,381,25,24,0,0,0,1,0,0.06561679790026247,0.06299212598425197,0.0,0.0,0.0,0.0026246719160104987,0.0
core,virtualenv,old_2000s,1.4,115,11,1,6,3,0,1,0,0.09565217391304348,0.008695652173913044,0.05217391304347826,0.02608695652173913,0.0,0.008695652173913044,0.0
