subset,repo,group,release,file_count,loc_total,docstring_count,docstrings_per_file,docstrings_per_kloc,module_docstring_count,class_docstring_count,function_docstring_count,module_docstring_ratio,class_docstring_ratio,function_docstring_ratio
core,build,new_2020s,1.4.0,12,1752,35,2.9166666666666665,19.977168949771688,1,8,26,0.02857142857142857,0.22857142857142856,0.7428571428571429
core,coverage,old_2000s,3.0,17,2281,122,7.176470588235294,53.485313459009205,17,15,90,0.13934426229508196,0.12295081967213115,0.7377049180327869
core,ipython,old_2000s,0.10.1,195,56696,1831,9.38974358974359,32.295047269648656,174,269,1388,0.09503003823047515,0.14691425450573456,0.7580557072637902
core,nose,old_2000s,0.11.1,53,12778,423,7.981132075471698,33.10377210831116,42,72,309,0.09929078014184398,0.1702127659574468,0.7304964539007093
core,pdm,new_2020s,2.26.0,122,22061,410,3.360655737704918,18.584832963147637,6,110,294,0.014634146341463415,0.2682926829268293,0.7170731707317073
core,pip,old_2000s,1.0.1,33,8140,135,4.090909090909091,16.584766584766584,10,17,108,0.07407407407407407,0.1259259259259259,0.8
core,pip-audit,new_2020s,2.9.0,26,3637,156,6.0,42.892493813582625,26,49,81,0.16666666666666666,0.3141025641025641,0.5192307692307693
core,poetry-plugin-export,new_2020s,1.10.0,5,939,2,0.4,2.1299254526091587,0,1,1,0.0,0.5,0.5
core,pygments,old_2000s,1.0,69,22005,340,4.927536231884058,15.451033855941832,66,185,89,0.19411764705882353,0.5441176470588235,0.26176470588235295
core,pytask,new_2020s,0.5.8,65,12585,529,8.138461538461538,42.03416765991259,57,82,390,0.10775047258979206,0.15500945179584122,0.7372400756143668
core,rich,new_2020s,14.0.0,122,28808,722,5.918032786885246,25.06248264371008,29,157,536,0.04016620498614958,0.21745152354570638,0.7423822714681441
core,scons,old_2000s,1.0.0,264,81356,1887,7.1477272727272725,23.194355671370275,163,212,1512,0.08638049814520403,0.11234764175940647,0.8012718600953895
core,setuptools,old_2000s,0.6c11,34,10643,280,8.235294117647058,26.308371699708726,12,47,221,0.04285714285714286,0.16785714285714284,0.7892857142857143
core,textualize,new_2020s,1.0.0,243,75275,3262,13.423868312757202,43.33444038525406,79,618,2377,0.02421827099938688,0.1894543225015328,0.7286940527283875
core,typer,new_2020s,0.19.0,20,5401,26,1.3,4.8139233475282355,1,2,23,0.038461538461538464,0.07692307692307693,0.8846153846153846
core,virtualenv,old_2000s,1.4,7,3027,47,6.714285714285714,15.526924347538817,5,3,39,0.10638297872340426,0.06382978723404255,0.8297872340425532
