subset,repo,group,release,total_blocks,inline_blocks,full_line_singleton_blocks,full_line_block_blocks,inline_punctuation_end_blocks,full_line_singleton_punctuation_end_blocks,full_line_block_punctuation_end_blocks,inline_ends_with_period_blocks,full_line_singleton_ends_with_period_blocks,full_line_block_ends_with_period_blocks,inline_question_blocks,full_line_singleton_question_blocks,full_line_block_question_blocks,inline_exclamation_blocks,full_line_singleton_exclamation_blocks,full_line_block_exclamation_blocks,punctuation_end_blocks,ends_with_period_blocks,question_blocks,exclamation_blocks,all_caps_blocks,starts_with_lowercase_blocks,starts_with_imperative_verb_blocks,starts_with_descriptive_verb_blocks,no_alphanumeric_blocks,empty_blocks,separator_blocks,url_blocks,number_blocks,emoticon_blocks,parentheses_blocks,linguistic_feature_blocks,punctuation_end_block_ratio,ends_with_period_block_ratio,question_block_ratio,exclamation_block_ratio,all_caps_block_ratio,starts_with_lowercase_block_ratio,starts_with_imperative_verb_block_ratio,starts_with_descriptive_verb_block_ratio,no_alphanumeric_block_ratio,empty_block_ratio,separator_block_ratio,url_block_ratio,number_block_ratio,emoticon_block_ratio,parentheses_block_ratio,linguistic_feature_block_ratio,emoticon_instance_count,unique_emoticons_count,unique_emoticons
core,build,new_2020s,1.4.0,38,3,20,15,0,8,11,0,8,11,0,0,0,0,0,0,19,19,0,0,0,19,4,0,0,0,0,3,8,1,8,37,0.5,0.5,0.0,0.0,0.0,0.5,0.10526315789473684,0.0,0.0,0.0,0.0,0.07894736842105263,0.21052631578947367,0.02631578947368421,0.21052631578947367,0.9736842105263158,0,0,
core,coverage,old_2000s,3.0,109,8,76,25,2,64,21,2,63,21,0,0,0,0,1,0,87,86,0,1,0,9,29,1,0,0,0,1,7,0,11,103,0.7981651376146789,0.7889908256880734,0.0,0.009174311926605505,0.0,0.08256880733944955,0.26605504587155965,0.009174311926605505,0.0,0.0,0.0,0.009174311926605505,0.06422018348623854,0.0,0.10091743119266056,0.944954128440367,0,0,
core,ipython,old_2000s,0.10.1,3338,351,1928,1059,22,229,403,13,206,389,3,15,5,6,8,9,654,608,23,23,4,1372,340,134,82,0,82,12,237,2,459,2333,0.19592570401437986,0.18214499700419412,0.00689035350509287,0.00689035350509287,0.0011983223487118035,0.4110245656081486,0.10185739964050329,0.040143798681845415,0.02456560814859197,0.0,0.02456560814859197,0.0035949670461354103,0.07100059916117435,0.0005991611743559018,0.13750748951467945,0.6989215098861594,0,0,
core,nose,old_2000s,0.11.1,445,50,256,139,2,81,57,2,79,57,0,2,0,0,0,0,140,138,2,0,0,205,79,17,0,0,0,3,46,0,52,392,0.3146067415730337,0.3101123595505618,0.0044943820224719105,0.0,0.0,0.4606741573033708,0.17752808988764046,0.038202247191011236,0.0,0.0,0.0,0.006741573033707865,0.10337078651685393,0.0,0.11685393258426967,0.8808988764044944,0,0,
core,pdm,new_2020s,2.26.0,329,67,208,54,13,41,34,13,41,34,0,0,0,0,0,0,88,88,0,0,3,86,52,10,0,0,0,13,30,0,24,234,0.2674772036474164,0.2674772036474164,0.0,0.0,0.00911854103343465,0.2613981762917933,0.1580547112462006,0.030395136778115502,0.0,0.0,0.0,0.03951367781155015,0.0911854103343465,0.0,0.0729483282674772,0.7112462006079028,0,0,
core,pip,old_2000s,1.0.1,183,23,129,31,1,14,10,0,10,10,0,3,0,1,1,0,25,20,3,2,0,73,33,15,1,1,0,1,13,4,12,125,0.1366120218579235,0.1092896174863388,0.01639344262295082,0.01092896174863388,0.0,0.3989071038251366,0.18032786885245902,0.08196721311475409,0.00546448087431694,0.00546448087431694,0.0,0.00546448087431694,0.07103825136612021,0.02185792349726776,0.06557377049180328,0.6830601092896175,0,0,
core,pip-audit,new_2020s,2.9.0,99,1,50,48,0,26,36,0,26,36,0,0,0,0,0,0,62,62,0,0,0,0,18,1,0,0,0,1,12,0,11,73,0.6262626262626263,0.6262626262626263,0.0,0.0,0.0,0.0,0.18181818181818182,0.010101010101010102,0.0,0.0,0.0,0.010101010101010102,0.12121212121212122,0.0,0.1111111111111111,0.7373737373737373,0,0,
core,poetry-plugin-export,new_2020s,1.10.0,21,0,11,10,0,5,6,0,5,5,0,0,0,0,0,1,11,10,0,1,0,4,3,0,0,0,0,0,1,0,1,17,0.5238095238095238,0.47619047619047616,0.0,0.047619047619047616,0.0,0.19047619047619047,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.047619047619047616,0.8095238095238095,0,0,
core,pygments,old_2000s,1.0,859,227,559,73,6,32,25,3,21,22,3,4,2,0,7,1,63,46,9,8,2,556,46,15,2,0,2,2,42,3,60,641,0.07334109429569266,0.05355064027939464,0.010477299185098952,0.009313154831199068,0.002328288707799767,0.6472642607683353,0.05355064027939464,0.017462165308498253,0.002328288707799767,0.0,0.002328288707799767,0.002328288707799767,0.048894062863795114,0.0034924330616996507,0.06984866123399301,0.7462165308498254,0,0,
core,pytask,new_2020s,0.5.8,207,16,128,63,1,91,57,1,90,57,0,0,0,0,1,0,149,148,0,1,1,23,40,3,0,0,0,4,17,0,20,186,0.7198067632850241,0.714975845410628,0.0,0.004830917874396135,0.004830917874396135,0.1111111111111111,0.1932367149758454,0.014492753623188406,0.0,0.0,0.0,0.01932367149758454,0.0821256038647343,0.0,0.0966183574879227,0.8985507246376812,0,0,
